18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
	at com.networknt.traceability.TraceabilityHandler.handleRequest(TraceabilityHandler.java:68)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:387)
	at org.jboss.threads.ContextClassLoaderSavingRunnable.run(ContextClassLoaderSavingRunnable.java:35)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.doRunTask(EnhancedQueueExecutor.java:1558)
	at java.base/java.lang.Thread.run(Unknown Source)
18:00:46.548 [XNIO-1 task-5]  HeC0_7tzRhS2lff1RJdyEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.548 [XNIO-1 task-5]  HeC0_7tzRhS2lff1RJdyEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.549 [XNIO-1 task-5]  HeC0_7tzRhS2lff1RJdyEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.549 [XNIO-1 task-5]  HeC0_7tzRhS2lff1RJdyEg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZjI3N2RmODUtNWMzOS00ZmZjLTk2NmUtNWRlN2YyY2ZkNWNlOm00dmN4bmhFUzlpdTZTcHppRnFUTkE=", "Basic ZjI3N2RmODUtNWMzOS00ZmZjLTk2NmUtNWRlN2YyY2ZkNWNlOm00dmN4bmhFUzlpdTZTcHppRnFUTkE=", authorization)
18:00:46.556 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.556 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.557 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.557 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:46.564 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
com.networknt.exception.ApiException: {"statusCode":404,"code":"ERR12029","message":"REFRESH_TOKEN_NOT_FOUND","description":"Refresh token f9499723-138c-4741-a7fe-6de134b8dce1 is not found.","severity":"ERROR"}
	at com.networknt.oauth.token.handler.Oauth2TokenPostHandler.handleRequest(Oauth2TokenPostHandler.java:120)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.audit.AuditHandler.next(AuditHandler.java:192)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.body.BodyHandler.handleRequest(BodyHandler.java:124)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.correlation.CorrelationHandler.handleRequest(CorrelationHandler.java:77)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.exception.ExceptionHandler.handleRequest(ExceptionHandler.java:76)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:841)
	at org.jboss.threads.EnhancedQueueExecutor.safeRun(EnhancedQueueExecutor.java:2019)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1449)
18:00:46.564 [XNIO-1 task-4]  JdzfeADZRMGl2rF4qrM3YA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.571 [XNIO-1 task-4]  2v_JPvt9ShS7HMUmZT0aZg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.571 [XNIO-1 task-4]  2v_JPvt9ShS7HMUmZT0aZg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.571 [XNIO-1 task-4]  2v_JPvt9ShS7HMUmZT0aZg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.572 [XNIO-1 task-4]  2v_JPvt9ShS7HMUmZT0aZg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.581 [XNIO-1 task-4]  2v_JPvt9ShS7HMUmZT0aZg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.591 [XNIO-1 task-4]  rgvRy_68SGC8yqCHn2k81g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.591 [XNIO-1 task-4]  rgvRy_68SGC8yqCHn2k81g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.593 [XNIO-1 task-4]  rgvRy_68SGC8yqCHn2k81g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.594 [XNIO-1 task-4]  rgvRy_68SGC8yqCHn2k81g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.599 [XNIO-1 task-4]  rgvRy_68SGC8yqCHn2k81g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.610 [XNIO-1 task-4]  DD674QSzQs6V785l5f9CQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.611 [XNIO-1 task-4]  DD674QSzQs6V785l5f9CQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.611 [XNIO-1 task-4]  DD674QSzQs6V785l5f9CQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.611 [XNIO-1 task-4]  DD674QSzQs6V785l5f9CQw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.632 [XNIO-1 task-4]  DD674QSzQs6V785l5f9CQw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.633 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.633 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.633 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.634 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 0FUbOb2KQ0atgsP0L5w4cA redirectUri = http://localhost:8080/authorization
18:00:46.637 [XNIO-1 task-4]  1466f7itSKuP4Nnor4BwBA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.637 [XNIO-1 task-4]  1466f7itSKuP4Nnor4BwBA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.637 [XNIO-1 task-4]  1466f7itSKuP4Nnor4BwBA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.638 [XNIO-1 task-4]  1466f7itSKuP4Nnor4BwBA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.641 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:786cb64c
18:00:46.645 [XNIO-1 task-4]  1466f7itSKuP4Nnor4BwBA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:46.645 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:46.648 [XNIO-1 task-5]  Oj0ZSIr5SyaEGXpMrT6vTg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.660 [XNIO-1 task-4]  1A-_atGcQwKtKgDCXAfRfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.660 [XNIO-1 task-4]  1A-_atGcQwKtKgDCXAfRfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.661 [XNIO-1 task-4]  1A-_atGcQwKtKgDCXAfRfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.661 [XNIO-1 task-4]  1A-_atGcQwKtKgDCXAfRfQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.666 [XNIO-1 task-4]  1A-_atGcQwKtKgDCXAfRfQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.672 [XNIO-1 task-4]  ReIg8tX3Tfmo-mbE1lu3lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.672 [XNIO-1 task-4]  ReIg8tX3Tfmo-mbE1lu3lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.672 [XNIO-1 task-4]  ReIg8tX3Tfmo-mbE1lu3lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.673 [XNIO-1 task-4]  ReIg8tX3Tfmo-mbE1lu3lQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.683 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.683 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.684 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.684 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = CrInvPr9TYGN6tVHjM83sg redirectUri = http://localhost:8080/authorization
18:00:46.689 [XNIO-1 task-4]  ReIg8tX3Tfmo-mbE1lu3lQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.697 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:46.697 [XNIO-1 task-5]  AFTBJE_OQumEdCMMuOfY5g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.704 [XNIO-1 task-3]  h2q2K--LTeadLZqmBGo7aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.704 [XNIO-1 task-3]  h2q2K--LTeadLZqmBGo7aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.704 [XNIO-1 task-3]  h2q2K--LTeadLZqmBGo7aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.705 [XNIO-1 task-3]  h2q2K--LTeadLZqmBGo7aA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
Jun 28, 2024 6:00:46 PM com.hazelcast.map.impl.operation.DeleteOperation
SEVERE: [172.24.0.4]:5701 [dev] [3.12] java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
18:00:46.706 [XNIO-1 task-4]  KhvE1ValRIKXzjjypywnoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.706 [XNIO-1 task-4]  KhvE1ValRIKXzjjypywnoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.706 [XNIO-1 task-4]  KhvE1ValRIKXzjjypywnoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.706 [XNIO-1 task-4]  KhvE1ValRIKXzjjypywnoQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NGRkNDc0ODEtNTQ4YS00ZGY3LWI0NWItMTc1NzFlZmQ1MDY0OnNpM1daZ195U3NPUXZpNHVQSEFRN3c=", "Basic NGRkNDc0ODEtNTQ4YS00ZGY3LWI0NWItMTc1NzFlZmQ1MDY0OnNpM1daZ195U3NPUXZpNHVQSEFRN3c=", authorization)
18:00:46.710 [XNIO-1 task-3]  h2q2K--LTeadLZqmBGo7aA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:46.712 [XNIO-1 task-5]  6UuQijKRQH-P5Qws5Q70gw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
18:00:46.713 [XNIO-1 task-5]  6UuQijKRQH-P5Qws5Q70gw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
18:00:46.725 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.727 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.727 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.728 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
18:00:46.734 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)

18:00:46.736 [XNIO-1 task-4]  BpRXi2afQnC6FZ1dO071YQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.736 [XNIO-1 task-4]  BpRXi2afQnC6FZ1dO071YQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.737 [XNIO-1 task-4]  BpRXi2afQnC6FZ1dO071YQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.737 [XNIO-1 task-4]  BpRXi2afQnC6FZ1dO071YQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 47ca83bb-3fad-49d8-9e3d-27c9539cba36 scope = null
18:00:46.740 [XNIO-1 task-3]  saf8HB-mRgCQBl-q6ECpuQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.775 [XNIO-1 task-4]  BpRXi2afQnC6FZ1dO071YQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.776 [XNIO-1 task-3]  M7PELD66QwCwL3VrvTFuqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.776 [XNIO-1 task-3]  M7PELD66QwCwL3VrvTFuqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.777 [XNIO-1 task-3]  M7PELD66QwCwL3VrvTFuqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.777 [XNIO-1 task-3]  M7PELD66QwCwL3VrvTFuqw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MzhmYzhlMDItMDYwNS00ZjM3LWFlOTAtNTRlN2Y1YWU4YjdiOmFPVVprVk9fUkdXMFRpdXZCUkNrQlE=", "Basic MzhmYzhlMDItMDYwNS00ZjM3LWFlOTAtNTRlN2Y1YWU4YjdiOmFPVVprVk9fUkdXMFRpdXZCUkNrQlE=", authorization)
18:00:46.780 [hz._hzInstance_1_dev.partition-operation.thread-11]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
18:00:46.783 [XNIO-1 task-3]  M7PELD66QwCwL3VrvTFuqw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.789 [XNIO-1 task-3]  KV8Y8DpVSOOWxqWoj8ACNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.789 [XNIO-1 task-3]  KV8Y8DpVSOOWxqWoj8ACNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.790 [XNIO-1 task-3]  KV8Y8DpVSOOWxqWoj8ACNg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.790 [XNIO-1 task-3]  KV8Y8DpVSOOWxqWoj8ACNg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.792 [XNIO-1 task-5]  81m_62B6SLSjx6DA0Etcmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.792 [XNIO-1 task-5]  81m_62B6SLSjx6DA0Etcmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.793 [XNIO-1 task-5]  81m_62B6SLSjx6DA0Etcmw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.793 [XNIO-1 task-5]  81m_62B6SLSjx6DA0Etcmw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 3hBF7DWET0eULtGJsxeD_A redirectUri = http://localhost:8080/authorization
18:00:46.800 [XNIO-1 task-3]  KV8Y8DpVSOOWxqWoj8ACNg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.805 [XNIO-1 task-5]  81m_62B6SLSjx6DA0Etcmw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:46.811 [XNIO-1 task-3]  wNGbr5RIRfOmSpsE9JgeuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.811 [XNIO-1 task-3]  wNGbr5RIRfOmSpsE9JgeuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.812 [XNIO-1 task-3]  wNGbr5RIRfOmSpsE9JgeuQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.812 [XNIO-1 task-3]  wNGbr5RIRfOmSpsE9JgeuQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic M2ZkMTA0ODYtMWVmYy00NWMwLWJjZDUtYjBjODI4N2UxNDY5OkdNQ2dVeHpEUXpTQXN1WkJMZlBEcnc=", "Basic M2ZkMTA0ODYtMWVmYy00NWMwLWJjZDUtYjBjODI4N2UxNDY5OkdNQ2dVeHpEUXpTQXN1WkJMZlBEcnc=", authorization)
18:00:46.819 [XNIO-1 task-3]  wNGbr5RIRfOmSpsE9JgeuQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:46.821 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.822 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.822 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.822 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NjE5MmU2ZGYtYTBlNS00NDIwLTg0ZjYtOWI1N2E5MDQ1ZWY0OlVtZ1B2bmU2UnJxX0N0T1k0UjBVbEE=", "Basic NjE5MmU2ZGYtYTBlNS00NDIwLTg0ZjYtOWI1N2E5MDQ1ZWY0OlVtZ1B2bmU2UnJxX0N0T1k0UjBVbEE=", authorization)
18:00:46.828 [XNIO-1 task-3]  H9qOCVbGQvqyr_RZqfmKBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.829 [XNIO-1 task-3]  H9qOCVbGQvqyr_RZqfmKBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.830 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:46.830 [XNIO-1 task-3]  H9qOCVbGQvqyr_RZqfmKBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.832 [XNIO-1 task-5]  aGLCjMx-Qius3dFcCVrc5A INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.833 [XNIO-1 task-3]  H9qOCVbGQvqyr_RZqfmKBw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:46.833 [XNIO-1 task-4]  tZhNCl6TQTWsqW9zLJU9hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.833 [XNIO-1 task-4]  tZhNCl6TQTWsqW9zLJU9hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.833 [XNIO-1 task-4]  tZhNCl6TQTWsqW9zLJU9hg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:46.833 [XNIO-1 task-4]  tZhNCl6TQTWsqW9zLJU9hg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 9fOBb0r7QSmFt46-QrKM0w redirectUri = http://localhost:8080/authorization
18:00:46.839 [XNIO-1 task-3]  H9qOCVbGQvqyr_RZqfmKBw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:46.841 [XNIO-1 task-4]  tZhNCl6TQTWsqW9zLJU9hg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:46.849 [XNIO-1 task-3]  SvtWvjJLSn6Gq8LiQc0nQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.850 [XNIO-1 task-3]  SvtWvjJLSn6Gq8LiQc0nQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.850 [XNIO-1 task-3]  SvtWvjJLSn6Gq8LiQc0nQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.850 [XNIO-1 task-3]  SvtWvjJLSn6Gq8LiQc0nQw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWJhZjEyMmUtNWM1NC00MzNiLTg4ODYtOWE0ZDYzYmYyNTZkOmhzbEZUcmpTUjRTMnVoR2pJcl9BU0E=", "Basic YWJhZjEyMmUtNWM1NC00MzNiLTg4ODYtOWE0ZDYzYmYyNTZkOmhzbEZUcmpTUjRTMnVoR2pJcl9BU0E=", authorization)
18:00:46.855 [XNIO-1 task-5]  5CS-YWE_RmCa-thm0BnWfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:46.856 [XNIO-1 task-5]  5CS-YWE_RmCa-thm0BnWfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:46.863 [XNIO-1 task-5]  5CS-YWE_RmCa-thm0BnWfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
