18:00:40.287 [XNIO-1 task-1]  FwR53MnwQwqZbvSUx3HKCA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.177 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.178 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG com.networknt.schema.TypeValidator debug - validate( "QqSMNF_ApHHA80KKhOx5sh5kR8yAcck--cWJ9fN_iQg", "QqSMNF_ApHHA80KKhOx5sh5kR8yAcck--cWJ9fN_iQg", code_challenge)
18:00:45.178 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:45.178 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.178 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:45.178 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.178 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.178 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:45.178 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG com.networknt.schema.TypeValidator debug - validate( "651b3be2-94ad-43d8-9e9e-3a8b81826b1a", "651b3be2-94ad-43d8-9e9e-3a8b81826b1a", client_id)
18:00:45.179 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.179 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:45.179 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.179 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.179 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.179 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.202 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.208 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.208 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.210 [XNIO-1 task-2]  QrX-I14eRkKGilMRt5OL1w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=p73fvfOsRpebDONwBbIf8g
18:00:45.213 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.213 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.213 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.214 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.214 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.214 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.214 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.214 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.216 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:7dae48a6-521e-48ba-a6a0-c2ac6aa27d50
18:00:45.218 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:7dae48a6-521e-48ba-a6a0-c2ac6aa27d50
18:00:45.219 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:45.219 [XNIO-1 task-1]  uz0tL-kqSQeoVz912MR9Og DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.225 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.225 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.232 [XNIO-1 task-2]  iQYduIChTN-8NJFvo9-p9A DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=BBMqjvgwQHaL7O8cAFhi6w
18:00:45.297 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.297 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.297 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.297 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG com.networknt.schema.TypeValidator debug - validate( "5ac17726-6afe-4db0-a435-3c130f92623f", "5ac17726-6afe-4db0-a435-3c130f92623f", client_id)
18:00:45.298 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.298 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.298 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.298 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.298 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.346 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.346 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.348 [XNIO-1 task-2]  wAeX3JP1TuK0Jg7ee_LISw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=A2GZNycsQf6yK65Eu1u3mA
18:00:45.388 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.388 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.389 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.389 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.389 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.390 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.390 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.393 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.399 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.399 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.402 [XNIO-1 task-2]  oF-t5XSiQY6Owumb9FMTrQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=vkozP6S8Sze-SosZgS61WA
18:00:45.407 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.407 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.408 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.408 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.409 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.410 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.410 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.410 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.419 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.419 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.421 [XNIO-1 task-2]  tkD4CwV4Rl6MMtQ4EM2NZw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=R28erNd_SkGNNa1QVgWf3w
18:00:45.441 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:f390ebd9-3093-44cf-a8c3-d069238a7f76
18:00:45.459 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.460 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:45.460 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.460 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG com.networknt.schema.TypeValidator debug - validate( "5cc9ac71-24de-492a-8df9-cd610c425ab3", "5cc9ac71-24de-492a-8df9-cd610c425ab3", client_id)
18:00:45.460 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:45.461 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:45.461 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:45.461 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:45.461 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:45.463 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.463 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.463 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.463 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:45.464 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.464 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.464 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.464 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.464 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.467 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.468 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.469 [XNIO-1 task-2]  Awmp17ljS6SdKobM5W7V0w DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=D_-85NnPSzCHhpTHC76TcQ
18:00:45.470 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:45.470 [XNIO-1 task-1]  8lB-wUNSRCOo81QEKmnhKQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.474 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.474 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.474 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.474 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG com.networknt.schema.TypeValidator debug - validate( "ab5fa0e0-a766-4466-a8c4-0c0ab8ce88fc", "ab5fa0e0-a766-4466-a8c4-0c0ab8ce88fc", client_id)
18:00:45.475 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:45.481 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:45.484 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:45.484 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:45.485 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:45.498 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:45.498 [XNIO-1 task-2]  b1B8G85cRQajs5aOLsrbpg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.585 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.586 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:45.586 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.586 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG com.networknt.schema.TypeValidator debug - validate( "ab5fa0e0-a766-4466-a8c4-0c0ab8ce88fc", "ab5fa0e0-a766-4466-a8c4-0c0ab8ce88fc", client_id)
18:00:45.587 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:45.587 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:45.588 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:45.588 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:45.588 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:45.600 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:45.600 [XNIO-1 task-2]  jLfmPRrCS9O6hp4u__8S3g DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.608 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.608 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:45.608 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG com.networknt.schema.TypeValidator debug - validate( "b8b6e0fb-820b-44a8-b1e3-c9051361f686", "b8b6e0fb-820b-44a8-b1e3-c9051361f686", client_id)
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
18:00:45.609 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
18:00:45.611 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.611 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.611 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
18:00:45.612 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG com.networknt.schema.TypeValidator debug - validate( "93f377f9-b91d-4100-86f5-cb1d04acc93d", "93f377f9-b91d-4100-86f5-cb1d04acc93d", client_id)
18:00:45.612 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
18:00:45.612 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
18:00:45.612 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
18:00:45.612 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@1b306c09 for /oauth2/code
18:00:45.613 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
18:00:45.618 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
18:00:45.618 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:45.623 [XNIO-1 task-2]  IVstOJnRSWu-Mu06k96d-Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=1U2YAqSRRwWDWU9XxtB0sg
18:00:45.623 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@1da6e51f for /oauth2/code
18:00:45.623 [XNIO-1 task-1]  72T6IDRUSAOUncUDysw12A DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:45.635 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.635 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:45.636 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:45.636 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG com.networknt.schema.TypeValidator debug - validate( "Nvud9G6DzFNvFZtq8uc-VitKqn_LyPHgrApoJHzeE1I", "Nvud9G6DzFNvFZtq8uc-VitKqn_LyPHgrApoJHzeE1I", code_challenge)
18:00:45.636 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
18:00:45.636 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
18:00:45.636 [XNIO-1 task-1]  lu40iK8JQq6CoNVaFIwPFw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
