19:00:41.635 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:45.915 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:45.915 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:45.915 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:45.916 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:45.916 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:45.916 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:45.923 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:45.923 [XNIO-1 task-1]  oa8jHB6QQ6yvpe4ao4wVNA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:45.937 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:45.937 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:45.938 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:45.938 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG com.networknt.schema.TypeValidator debug - validate( "ihzYwYoUziy2P7jwulRjSdFEF4wmQK9u1RzX21tv3Ls", "ihzYwYoUziy2P7jwulRjSdFEF4wmQK9u1RzX21tv3Ls", code_challenge)
19:00:45.938 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:45.938 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:45.938 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:45.939 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:45.939 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:45.941 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.941 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.941 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.942 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:45.942 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:45.942 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:45.942 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:45.942 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:45.948 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:45.955 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:45.955 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:45.955 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:45.955 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:45.970 [XNIO-1 task-2]  c5_X0TnKQlWkW5SYAAnAHg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=FYs_mjNvRcajyWKtt7qIEg
19:00:45.975 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.975 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.975 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:45.975 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:45.976 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:45.976 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:45.976 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:45.976 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:45.989 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:45.989 [XNIO-1 task-2]  MTTIgUmeT7-K3vXQ8dJ1aA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:45.991 [XNIO-1 task-1]  rSQZHI39SQevRFTNJP6FqQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=MuLVJJa_Ssivk6LPQasWtg
19:00:46.006 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.007 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.007 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.007 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:46.007 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.007 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.008 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.008 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.008 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.020 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.020 [XNIO-1 task-2]  mcwZninYRu6G55tVqWGccA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.033 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.033 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.033 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.033 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "e17f039c-8502-4eae-8bc0-923def0f5a7c", "e17f039c-8502-4eae-8bc0-923def0f5a7c", client_id)
19:00:46.034 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.034 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.034 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.034 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.034 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.043 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.043 [XNIO-1 task-2]  LLtEnMEOSQ2QtjWeRRpV2Q DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.056 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.056 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.056 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.056 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG com.networknt.schema.TypeValidator debug - validate( "e17f039c-8502-4eae-8bc0-923def0f5a7c", "e17f039c-8502-4eae-8bc0-923def0f5a7c", client_id)
19:00:46.057 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.057 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.057 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.057 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.057 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.067 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.067 [XNIO-1 task-2]  HAutmILpTIe91fchGtUHcw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.078 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:5757eb7c
19:00:46.119 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:a71ee49a-6329-49c4-bf71-9d8e05da9e51
19:00:46.121 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:a71ee49a-6329-49c4-bf71-9d8e05da9e51
19:00:46.124 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:7fde29e5-a69d-4c15-875b-4e67ef1d96f5
19:00:46.145 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:3b5f4359
19:00:46.148 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:3b5f4359
19:00:46.150 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.150 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.150 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.150 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG com.networknt.schema.TypeValidator debug - validate( "332bab43-8967-4a8f-ae82-540c46c8afb6", "332bab43-8967-4a8f-ae82-540c46c8afb6", client_id)
19:00:46.151 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.151 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.151 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.151 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.151 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:46.162 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:46.162 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:46.165 [XNIO-1 task-2]  KtwT6oImTqe0eMqYM-0UzA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=biFy8hGoTRemnbR3VUZ6oQ
19:00:46.168 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.168 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.168 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.169 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG com.networknt.schema.TypeValidator debug - validate( "366825f3-9f2d-4e9e-8b4e-35efbd34304c", "366825f3-9f2d-4e9e-8b4e-35efbd34304c", client_id)
19:00:46.170 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:46.170 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:46.170 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:d57405e0-abb4-4211-86c3-bbd7417c1876
19:00:46.170 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.170 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.171 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.174 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.174 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.174 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:46.174 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:46.174 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:46.175 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:46.175 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:46.175 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.175 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:46.183 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:46.183 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:46.185 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:3b5f4359
19:00:46.186 [XNIO-1 task-1]  cre6VYTFS2uucud-bi216g DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=g7RSLCVSQeCeolYM3Rswew
19:00:46.191 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.191 [XNIO-1 task-2]  kDfZ2N7PQcOhKhT193zddQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.206 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.207 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.207 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.207 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG com.networknt.schema.TypeValidator debug - validate( "Kfy09j4ZAdiuZCBg-IsdDTyLtUQteTVaIt2Rbnl9-mc", "Kfy09j4ZAdiuZCBg-IsdDTyLtUQteTVaIt2Rbnl9-mc", code_challenge)
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.208 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.219 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.220 [XNIO-1 task-2]  QxOVN6dZQrmNfCcE6nXqUw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.246 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.247 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.248 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.249 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG com.networknt.schema.TypeValidator debug - validate( "332bab43-8967-4a8f-ae82-540c46c8afb6", "332bab43-8967-4a8f-ae82-540c46c8afb6", client_id)
19:00:46.249 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:46.249 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:46.249 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:46.249 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:46.250 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:46.267 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:46.267 [XNIO-1 task-2]  Dh4IxtXCS06jDhymQHyHxg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:46.275 [XNIO-1 task-2]  17OworGmTJWMsioAItOwQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.275 [XNIO-1 task-2]  17OworGmTJWMsioAItOwQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:46.276 [XNIO-1 task-2]  17OworGmTJWMsioAItOwQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.276 [XNIO-1 task-2]  17OworGmTJWMsioAItOwQQ DEBUG com.networknt.schema.TypeValidator debug - validate( "zUOeKvaRPZq3kTzHAm_KLTdrk10TPJvwphe3sShPF0o", "zUOeKvaRPZq3kTzHAm_KLTdrk10TPJvwphe3sShPF0o", code_challenge)
19:00:46.277 [XNIO-1 task-1]  R5SM19klRAmd5LGP1CF9yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:46.277 [XNIO-1 task-1]  R5SM19klRAmd5LGP1CF9yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
