08:11:46.169 [XNIO-1 task-2]  MBjlzHl4Q6O-EmMDAPKNyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/65b2e657
08:11:48.392 [XNIO-1 task-2]  t5VlUWHmSOWgBfNRjdYxJA DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"68e0d72e","serviceName":"67942675-0f13-4c3a-bfdd-da250c5a","serviceDesc":"77192d96-d839-4511-9cdf-53aba2e419da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:48.392 [XNIO-1 task-2]  t5VlUWHmSOWgBfNRjdYxJA DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"68e0d72e","serviceName":"67942675-0f13-4c3a-bfdd-da250c5a","serviceDesc":"77192d96-d839-4511-9cdf-53aba2e419da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
08:11:48.392 [XNIO-1 task-2]  t5VlUWHmSOWgBfNRjdYxJA DEBUG com.networknt.schema.TypeValidator debug - validate( "67942675-0f13-4c3a-bfdd-da250c5a", {"serviceType":"swagger","serviceId":"68e0d72e","serviceName":"67942675-0f13-4c3a-bfdd-da250c5a","serviceDesc":"77192d96-d839-4511-9cdf-53aba2e419da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
08:11:48.392 [XNIO-1 task-2]  t5VlUWHmSOWgBfNRjdYxJA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"68e0d72e","serviceName":"67942675-0f13-4c3a-bfdd-da250c5a","serviceDesc":"77192d96-d839-4511-9cdf-53aba2e419da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"68e0d72e","serviceName":"67942675-0f13-4c3a-bfdd-da250c5a","serviceDesc":"77192d96-d839-4511-9cdf-53aba2e419da","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.398 [XNIO-1 task-2]  lMJZ4GepT5iZeU-mXvgjFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/1e920c60, base path is set to: null
08:11:48.399 [XNIO-1 task-2]  lMJZ4GepT5iZeU-mXvgjFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/1e920c60
08:11:48.400 [XNIO-1 task-2]  lMJZ4GepT5iZeU-mXvgjFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.400 [XNIO-1 task-2]  lMJZ4GepT5iZeU-mXvgjFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:48.400 [XNIO-1 task-2]  lMJZ4GepT5iZeU-mXvgjFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/1e920c60
08:11:48.404 [XNIO-1 task-2]  u93t7WvSSgSVC7iYilELOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/189bb082, base path is set to: null
08:11:48.404 [XNIO-1 task-2]  u93t7WvSSgSVC7iYilELOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.404 [XNIO-1 task-2]  u93t7WvSSgSVC7iYilELOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.404 [XNIO-1 task-2]  u93t7WvSSgSVC7iYilELOQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/189bb082, base path is set to: null
08:11:48.405 [XNIO-1 task-2]  u93t7WvSSgSVC7iYilELOQ DEBUG com.networknt.schema.TypeValidator debug - validate( "189bb082", "189bb082", serviceId)
08:11:48.423 [XNIO-1 task-2]  262FK8pxSdSHPFJVJ8A5oA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.423 [XNIO-1 task-2]  262FK8pxSdSHPFJVJ8A5oA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.423 [XNIO-1 task-2]  262FK8pxSdSHPFJVJ8A5oA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.423 [XNIO-1 task-2]  262FK8pxSdSHPFJVJ8A5oA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:48.426 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:d4715d3d
08:11:48.428 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.428 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.428 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.428 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.429 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.429 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:48.429 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
08:11:48.429 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG com.networknt.schema.TypeValidator debug - validate( "1b32d18a-5c47-4d63-a9b7-c8caca0f", {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
08:11:48.429 [XNIO-1 task-2]  qk2fWk4ASdKqEyMrasRJJw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"1e920c60","serviceName":"1b32d18a-5c47-4d63-a9b7-c8caca0f","serviceDesc":"db79a980-4f86-414e-a894-060aca6bd68e","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.429 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:1e920c60
08:11:48.435 [XNIO-1 task-2]  r-L8BL7nQoK6mvGg6Z5oSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.435 [XNIO-1 task-2]  r-L8BL7nQoK6mvGg6Z5oSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.435 [XNIO-1 task-2]  r-L8BL7nQoK6mvGg6Z5oSw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.438 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:86a085f4
08:11:48.439 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:86a085f4
08:11:48.440 [XNIO-1 task-2]  JQpXiuUsReuY7zqLufIuYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/68e0d72e
08:11:48.440 [XNIO-1 task-2]  JQpXiuUsReuY7zqLufIuYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.440 [XNIO-1 task-2]  JQpXiuUsReuY7zqLufIuYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:48.441 [XNIO-1 task-2]  JQpXiuUsReuY7zqLufIuYg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/68e0d72e
08:11:48.443 [XNIO-1 task-2]  7F34SGY0TMqj-0M1dV-4Mg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/1e920c60, base path is set to: null
08:11:48.443 [XNIO-1 task-2]  7F34SGY0TMqj-0M1dV-4Mg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.443 [XNIO-1 task-2]  7F34SGY0TMqj-0M1dV-4Mg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.443 [XNIO-1 task-2]  7F34SGY0TMqj-0M1dV-4Mg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/1e920c60, base path is set to: null
08:11:48.443 [XNIO-1 task-2]  7F34SGY0TMqj-0M1dV-4Mg DEBUG com.networknt.schema.TypeValidator debug - validate( "1e920c60", "1e920c60", serviceId)
08:11:48.446 [XNIO-1 task-2]  fkiZCbnkThmCNU61Q4iCTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.446 [XNIO-1 task-2]  fkiZCbnkThmCNU61Q4iCTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.446 [XNIO-1 task-2]  fkiZCbnkThmCNU61Q4iCTQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.452 [XNIO-1 task-2]  F7ZPhsV5SR-hoVPXQbF33w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.452 [XNIO-1 task-2]  F7ZPhsV5SR-hoVPXQbF33w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.452 [XNIO-1 task-2]  F7ZPhsV5SR-hoVPXQbF33w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.452 [XNIO-1 task-2]  F7ZPhsV5SR-hoVPXQbF33w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:48.455 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:86a085f4
08:11:48.457 [XNIO-1 task-2]  Hv2vj4fGRu-ExKwvQ3kX6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/c8dd7655
08:11:48.458 [XNIO-1 task-2]  Hv2vj4fGRu-ExKwvQ3kX6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.458 [XNIO-1 task-2]  Hv2vj4fGRu-ExKwvQ3kX6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:48.458 [XNIO-1 task-2]  Hv2vj4fGRu-ExKwvQ3kX6w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/c8dd7655
08:11:48.458 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:c8dd7655
08:11:48.463 [XNIO-1 task-2]  TGkVrH9vRi-oD5aWRG1Ujg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.463 [XNIO-1 task-2]  TGkVrH9vRi-oD5aWRG1Ujg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.463 [XNIO-1 task-2]  TGkVrH9vRi-oD5aWRG1Ujg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.463 [XNIO-1 task-2]  TGkVrH9vRi-oD5aWRG1Ujg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
08:11:48.468 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:d4715d3d
08:11:48.472 [XNIO-1 task-2]  g_bsNSH9S462HO_a-D5XIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2396178d, base path is set to: null
08:11:48.472 [XNIO-1 task-2]  g_bsNSH9S462HO_a-D5XIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.472 [XNIO-1 task-2]  g_bsNSH9S462HO_a-D5XIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.472 [XNIO-1 task-2]  g_bsNSH9S462HO_a-D5XIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2396178d, base path is set to: null
08:11:48.472 [XNIO-1 task-2]  g_bsNSH9S462HO_a-D5XIw DEBUG com.networknt.schema.TypeValidator debug - validate( "2396178d", "2396178d", serviceId)
08:11:48.477 [XNIO-1 task-2]  z4ymvBasQH6uxFjBpQLlhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/2396178d
08:11:48.477 [XNIO-1 task-2]  z4ymvBasQH6uxFjBpQLlhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.477 [XNIO-1 task-2]  z4ymvBasQH6uxFjBpQLlhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:48.477 [XNIO-1 task-2]  z4ymvBasQH6uxFjBpQLlhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/2396178d
08:11:48.479 [XNIO-1 task-2]  wJvQqVDBT4qtqYl-duNziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2396178d, base path is set to: null
08:11:48.479 [XNIO-1 task-2]  wJvQqVDBT4qtqYl-duNziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.479 [XNIO-1 task-2]  wJvQqVDBT4qtqYl-duNziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.479 [XNIO-1 task-2]  wJvQqVDBT4qtqYl-duNziQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/2396178d, base path is set to: null
08:11:48.479 [XNIO-1 task-2]  wJvQqVDBT4qtqYl-duNziQ DEBUG com.networknt.schema.TypeValidator debug - validate( "2396178d", "2396178d", serviceId)
08:11:48.486 [XNIO-1 task-2]  ayIyu1uOQfumDfGNgnkSsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/37e18cca
08:11:48.486 [XNIO-1 task-2]  ayIyu1uOQfumDfGNgnkSsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.487 [XNIO-1 task-2]  ayIyu1uOQfumDfGNgnkSsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:48.487 [XNIO-1 task-2]  ayIyu1uOQfumDfGNgnkSsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/37e18cca
08:11:48.494 [XNIO-1 task-2]  7NO5uGKySjGjIbWSILzxrg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/1e920c60, base path is set to: null
08:11:48.494 [XNIO-1 task-2]  7NO5uGKySjGjIbWSILzxrg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.494 [XNIO-1 task-2]  7NO5uGKySjGjIbWSILzxrg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.494 [XNIO-1 task-2]  7NO5uGKySjGjIbWSILzxrg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/1e920c60, base path is set to: null
08:11:48.494 [XNIO-1 task-2]  7NO5uGKySjGjIbWSILzxrg DEBUG com.networknt.schema.TypeValidator debug - validate( "1e920c60", "1e920c60", serviceId)
08:11:48.495 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:1e920c60
08:11:48.500 [XNIO-1 task-2]  xm4BkLhrTemnH6mKG-EIDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.500 [XNIO-1 task-2]  xm4BkLhrTemnH6mKG-EIDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.500 [XNIO-1 task-2]  xm4BkLhrTemnH6mKG-EIDw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.500 [XNIO-1 task-2]  xm4BkLhrTemnH6mKG-EIDw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:48.506 [XNIO-1 task-2]  1aP6SVM4QkmSYOkcwfbjsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.506 [XNIO-1 task-2]  1aP6SVM4QkmSYOkcwfbjsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.506 [XNIO-1 task-2]  1aP6SVM4QkmSYOkcwfbjsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.512 [XNIO-1 task-2]  T5X_iDYwQcay_iOWwvun0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.512 [XNIO-1 task-2]  T5X_iDYwQcay_iOWwvun0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.512 [XNIO-1 task-2]  T5X_iDYwQcay_iOWwvun0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.514 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:cb9e4b18-e47c-4123-be8c-e11894ddde20
08:11:48.515 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:cb9e4b18-e47c-4123-be8c-e11894ddde20
08:11:48.526 [XNIO-1 task-2]  NXUy0MB6SjeLxMvj12770Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/64f91000, base path is set to: null
08:11:48.526 [XNIO-1 task-2]  NXUy0MB6SjeLxMvj12770Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.526 [XNIO-1 task-2]  NXUy0MB6SjeLxMvj12770Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:48.526 [XNIO-1 task-2]  NXUy0MB6SjeLxMvj12770Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/64f91000, base path is set to: null
08:11:48.526 [XNIO-1 task-2]  NXUy0MB6SjeLxMvj12770Q DEBUG com.networknt.schema.TypeValidator debug - validate( "64f91000", "64f91000", serviceId)
08:11:48.532 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
08:11:48.533 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e5622e99-cd79-4440-8b9c-0739360a", {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
08:11:48.534 [XNIO-1 task-2]  x1se0JqyShiAmnAOWMz8cQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"477dece0","serviceName":"e5622e99-cd79-4440-8b9c-0739360a","serviceDesc":"22f571d9-c08d-4e9f-ae48-0eaba0ed561a","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.538 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:86a085f4
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG com.networknt.schema.TypeValidator debug - validate( "66f7b3b9-59cc-4c88-811e-26adb8c7ff6c", {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG com.networknt.schema.TypeValidator debug - validate( "b4e23211", {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
08:11:48.547 [XNIO-1 task-2]  72ABMjeZTBO1j5I4KG_Hwg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"b4e23211","serviceName":"22279465-1924-475d-b5b6-3f083ba4","serviceDesc":"66f7b3b9-59cc-4c88-811e-26adb8c7ff6c","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
08:11:48.555 [XNIO-1 task-2]  fwkx5h2EQ9CkhDah7s2bhw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
