16:29:38.846 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ff38b92a-ff20-4a28-98f1-e21d718f1a77
16:29:43.517 [XNIO-1 task-2]  FaOwm3pJTLmid64s8TWecQ DEBUG com.networknt.schema.TypeValidator debug - validate( "8b021d03", {"serviceType":"swagger","serviceId":"8b021d03","serviceName":"5c638a75-6bab-4400-98d8-5b8a349a","serviceDesc":"1f73a870-ea74-417d-92b9-dce01a306d00","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:29:43.517 [XNIO-1 task-2]  FaOwm3pJTLmid64s8TWecQ DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"8b021d03","serviceName":"5c638a75-6bab-4400-98d8-5b8a349a","serviceDesc":"1f73a870-ea74-417d-92b9-dce01a306d00","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:29:43.517 [XNIO-1 task-2]  FaOwm3pJTLmid64s8TWecQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"8b021d03","serviceName":"5c638a75-6bab-4400-98d8-5b8a349a","serviceDesc":"1f73a870-ea74-417d-92b9-dce01a306d00","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"8b021d03","serviceName":"5c638a75-6bab-4400-98d8-5b8a349a","serviceDesc":"1f73a870-ea74-417d-92b9-dce01a306d00","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.525 [XNIO-1 task-2]  F7MvyHLjR6C9MyHZbjs0Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/708fcf8d
16:29:43.526 [XNIO-1 task-2]  F7MvyHLjR6C9MyHZbjs0Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.526 [XNIO-1 task-2]  F7MvyHLjR6C9MyHZbjs0Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:43.526 [XNIO-1 task-2]  F7MvyHLjR6C9MyHZbjs0Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/708fcf8d
16:29:43.535 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.537 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.537 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG com.networknt.schema.TypeValidator debug - validate( "7708ce65-f081-4395-801c-3bdb51d8", {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:43.538 [XNIO-1 task-2]  Pu8RwCYeSrKV9UNVJyc22A DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a89ce770","serviceName":"7708ce65-f081-4395-801c-3bdb51d8","serviceDesc":"d9ac2b7e-eaab-4922-8d20-fc3af5521cbd","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.544 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:93613d6d-6d27-476a-91cf-48d1b65d10c3
16:29:43.572 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:e924261e
16:29:43.576 [XNIO-1 task-2]  l4upsGLUTPKIr5o7ofonfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/708fcf8d
16:29:43.577 [XNIO-1 task-2]  l4upsGLUTPKIr5o7ofonfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.577 [XNIO-1 task-2]  l4upsGLUTPKIr5o7ofonfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:43.577 [XNIO-1 task-2]  l4upsGLUTPKIr5o7ofonfg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/708fcf8d
16:29:43.583 [XNIO-1 task-2]  mg8A9eOlSje7EdY5hoC2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/753ecad7, base path is set to: null
16:29:43.583 [XNIO-1 task-2]  mg8A9eOlSje7EdY5hoC2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.583 [XNIO-1 task-2]  mg8A9eOlSje7EdY5hoC2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:43.583 [XNIO-1 task-2]  mg8A9eOlSje7EdY5hoC2zg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/753ecad7, base path is set to: null
16:29:43.584 [XNIO-1 task-2]  mg8A9eOlSje7EdY5hoC2zg DEBUG com.networknt.schema.TypeValidator debug - validate( "753ecad7", "753ecad7", serviceId)
16:29:43.590 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.591 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.591 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.591 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.592 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.592 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG com.networknt.schema.TypeValidator debug - validate( "f398c687-7e32-4569-8cf2-2cf4f047c3e1", {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:29:43.592 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG com.networknt.schema.TypeValidator debug - validate( "65d8bb21", {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:29:43.592 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:29:43.592 [XNIO-1 task-2]  M5_fsl2WQNq3GZZaXmlZGA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"65d8bb21","serviceName":"87b96126-14e4-40e1-acaa-3fd0d0d0","serviceDesc":"f398c687-7e32-4569-8cf2-2cf4f047c3e1","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.594 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:65d8bb21
16:29:43.618 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.618 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.618 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG com.networknt.schema.TypeValidator debug - validate( "1c315c59-1d55-4172-982b-7331b39986aa", {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG com.networknt.schema.TypeValidator debug - validate( "708fcf8d", {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
16:29:43.619 [XNIO-1 task-2]  YM4YKi0lTO-BtWfp2gsdtg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"708fcf8d","serviceName":"5a9ca6ec-2713-40a1-ab98-60ac3d38","serviceDesc":"1c315c59-1d55-4172-982b-7331b39986aa","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.644 [XNIO-1 task-2]  hVyWslXvS1qALA8gO2MZhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/753ecad7
16:29:43.653 [XNIO-1 task-2]  hVyWslXvS1qALA8gO2MZhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:43.653 [XNIO-1 task-2]  hVyWslXvS1qALA8gO2MZhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:43.653 [XNIO-1 task-2]  hVyWslXvS1qALA8gO2MZhg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/753ecad7
16:29:43.684 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.684 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.685 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.686 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.686 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.686 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.686 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:43.686 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG com.networknt.schema.TypeValidator debug - validate( "872beb0b-1489-40e9-a558-a91c1cbe", {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:43.687 [XNIO-1 task-2]  0aMhP1YpSDaw69HqI8ZcKA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"bb7c8f39","serviceName":"872beb0b-1489-40e9-a558-a91c1cbe","serviceDesc":"590df4ed-ff27-4f97-8678-5c7af3b184ce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.766 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.767 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.770 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.770 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.771 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.771 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.771 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:43.771 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG com.networknt.schema.TypeValidator debug - validate( "3fddb09f-59f4-4e4c-984b-38cd483c", {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:43.771 [XNIO-1 task-2]  6UJn5BE_RHaMDroy2aluqg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"303b0915","serviceName":"3fddb09f-59f4-4e4c-984b-38cd483c","serviceDesc":"12499ee5-426e-475a-9421-044a56b9b7a9","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.777 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:303b0915
16:29:43.802 [XNIO-1 task-2]  w7_7q3QaReS9dPKG3y-_Ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.813 [XNIO-1 task-2]  w7_7q3QaReS9dPKG3y-_Ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.820 [XNIO-1 task-2]  w7_7q3QaReS9dPKG3y-_Ig DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.843 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.846 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.846 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:43.851 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.852 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.852 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG com.networknt.schema.EnumValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:29:43.853 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG com.networknt.schema.TypeValidator debug - validate( "read write", {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.scope)
16:29:43.853 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG com.networknt.schema.TypeValidator debug - validate( "30e86a4b-6b36-4234-b52b-92707997", {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceName)
16:29:43.853 [XNIO-1 task-2]  prGLCxLWRriWzaScbPaOFQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"a25ef366","serviceName":"30e86a4b-6b36-4234-b52b-92707997","serviceDesc":"48bc5856-b560-4089-a41f-438575ba0d43","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:29:43.891 [XNIO-1 task-2]  iESm_YUmSAmcnpwptAtKVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a89ce770, base path is set to: null
16:29:43.891 [XNIO-1 task-2]  iESm_YUmSAmcnpwptAtKVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:43.891 [XNIO-1 task-2]  iESm_YUmSAmcnpwptAtKVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
16:29:43.891 [XNIO-1 task-2]  iESm_YUmSAmcnpwptAtKVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a89ce770, base path is set to: null
16:29:43.891 [XNIO-1 task-2]  iESm_YUmSAmcnpwptAtKVQ DEBUG com.networknt.schema.TypeValidator debug - validate( "a89ce770", "a89ce770", serviceId)
16:29:43.898 [XNIO-1 task-2]  q3gOaB0gS6aF8CqCn_Qweg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a89ce770
