16:29:40.148 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:66c2c2bd
16:29:44.233 [XNIO-1 task-1]  Jz65Fe9YQ9-6LAH1L-YRaw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.236 [XNIO-1 task-2]  GiZTY4PNSwqQSatMaOnvEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.236 [XNIO-1 task-2]  GiZTY4PNSwqQSatMaOnvEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.237 [XNIO-1 task-2]  GiZTY4PNSwqQSatMaOnvEw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.237 [XNIO-1 task-2]  GiZTY4PNSwqQSatMaOnvEw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Yjk2NDhlN2ItZmQ1My00Y2UwLThhYzQtOGM0ZDFlMDZhMjZlOl8ycDBaaUNHVHg2SHpqQzluMTBVOHc=", "Basic Yjk2NDhlN2ItZmQ1My00Y2UwLThhYzQtOGM0ZDFlMDZhMjZlOl8ycDBaaUNHVHg2SHpqQzluMTBVOHc=", authorization)
16:29:44.238 [XNIO-1 task-1]  pqvZFOQ0S5eO0XCvXqmyhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.239 [XNIO-1 task-1]  pqvZFOQ0S5eO0XCvXqmyhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.239 [XNIO-1 task-1]  pqvZFOQ0S5eO0XCvXqmyhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.240 [XNIO-1 task-1]  pqvZFOQ0S5eO0XCvXqmyhQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZjRkN2QxY2YtNzk0NC00MmVkLWFmY2YtNzhiNDY0YTgxNjY4OkM5Y1NRVWc0UWNDM3gyMXVKODZkM0E=", "Basic ZjRkN2QxY2YtNzk0NC00MmVkLWFmY2YtNzhiNDY0YTgxNjY4OkM5Y1NRVWc0UWNDM3gyMXVKODZkM0E=", authorization)
16:29:44.248 [XNIO-1 task-1]  pqvZFOQ0S5eO0XCvXqmyhQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.251 [XNIO-1 task-4]  eV3Mhk42TuqoD0gsXP3EGw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
Jun 28, 2024 4:29:44 PM com.hazelcast.map.impl.operation.DeleteOperation
16:29:44.251 [XNIO-1 task-4]  eV3Mhk42TuqoD0gsXP3EGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.251 [XNIO-1 task-4]  eV3Mhk42TuqoD0gsXP3EGw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:36)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
16:29:44.252 [XNIO-1 task-2]  GiZTY4PNSwqQSatMaOnvEw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.252 [XNIO-1 task-4]  eV3Mhk42TuqoD0gsXP3EGw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic M2YyM2I5NzYtM2FkMi00MjJkLTgwMDgtNzg4NzhmNWQ0ODEzOjgybHhoZVpjUjFDOTFxeXVaOVllWFE=", "Basic M2YyM2I5NzYtM2FkMi00MjJkLTgwMDgtNzg4NzhmNWQ0ODEzOjgybHhoZVpjUjFDOTFxeXVaOVllWFE=", authorization)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
16:29:44.252 [XNIO-1 task-4]  eV3Mhk42TuqoD0gsXP3EGw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = llzsTc_JR-Og900i9ane1Q redirectUri = http://localhost:8080/authorization
16:29:44.257 [XNIO-1 task-1]  1RbdKaz_TRug2m2XDAHWIg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.257 [XNIO-1 task-1]  1RbdKaz_TRug2m2XDAHWIg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.257 [XNIO-1 task-1]  1RbdKaz_TRug2m2XDAHWIg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.257 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:f4d7d1cf-7944-42ed-afcf-78b464a81668
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
16:29:44.273 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.273 [XNIO-1 task-1]  HXNwHcOZR2a55-srHHJs8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.273 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
16:29:44.273 [XNIO-1 task-1]  HXNwHcOZR2a55-srHHJs8w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.273 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.273 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	... 14 more

16:29:44.274 [XNIO-1 task-1]  HXNwHcOZR2a55-srHHJs8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.274 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic M2YyM2I5NzYtM2FkMi00MjJkLTgwMDgtNzg4NzhmNWQ0ODEzOjgybHhoZVpjUjFDOTFxeXVaOVllWFE=", "Basic M2YyM2I5NzYtM2FkMi00MjJkLTgwMDgtNzg4NzhmNWQ0ODEzOjgybHhoZVpjUjFDOTFxeXVaOVllWFE=", authorization)
16:29:44.274 [XNIO-1 task-1]  HXNwHcOZR2a55-srHHJs8w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:44.278 [hz._hzInstance_1_dev.partition-operation.thread-5]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
16:29:44.304 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.304 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.304 [XNIO-1 task-4]  -_OCznaLTSuiVKpukWpn8g INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.305 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.305 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = yPhS90cxTtKlOUm_HzBXMA redirectUri = http://localhost:8080/authorization
16:29:44.306 [XNIO-1 task-1]  HXNwHcOZR2a55-srHHJs8w INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.312 [XNIO-1 task-1]  re9oFnKqQQyrMWczd0NMLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.312 [XNIO-1 task-1]  re9oFnKqQQyrMWczd0NMLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.312 [XNIO-1 task-1]  re9oFnKqQQyrMWczd0NMLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.313 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:c0505771-06f5-4b6f-8e68-a5def85e196c
16:29:44.313 [XNIO-1 task-1]  re9oFnKqQQyrMWczd0NMLg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTE3ZmJjNzQtOGIzMi00OTVhLTk5YmItNmQ3NGVlNGU3ZjcwOi1yNnZBODZUUXN1b0lxU0pjZ1NBYXc=", "Basic OTE3ZmJjNzQtOGIzMi00OTVhLTk5YmItNmQ3NGVlNGU3ZjcwOi1yNnZBODZUUXN1b0lxU0pjZ1NBYXc=", authorization)
16:29:44.314 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:44.314 [XNIO-1 task-2]  O_YGixsZTlSG0ktM51gvqA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.348 [XNIO-1 task-1]  re9oFnKqQQyrMWczd0NMLg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.361 [XNIO-1 task-1]  KIs2_RfPSaqzfhzrB94QQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.361 [XNIO-1 task-1]  KIs2_RfPSaqzfhzrB94QQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.361 [XNIO-1 task-1]  KIs2_RfPSaqzfhzrB94QQw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.362 [XNIO-1 task-1]  KIs2_RfPSaqzfhzrB94QQw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:44.365 [XNIO-1 task-2]  N2BD2p9rT5WmB1tISXUo8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.366 [XNIO-1 task-2]  N2BD2p9rT5WmB1tISXUo8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.366 [XNIO-1 task-2]  N2BD2p9rT5WmB1tISXUo8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.366 [XNIO-1 task-2]  N2BD2p9rT5WmB1tISXUo8w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = db0fc5a4-0a5f-430f-85db-e645ebaf7851 scope = null
16:29:44.368 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:883feb89-1bff-4d15-afeb-9e0b9e7ba244
16:29:44.369 [XNIO-1 task-1]  KIs2_RfPSaqzfhzrB94QQw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.383 [XNIO-1 task-1]  YAKNnJ1SQ6iNvt5bXCEKoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.383 [XNIO-1 task-1]  YAKNnJ1SQ6iNvt5bXCEKoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.384 [XNIO-1 task-1]  YAKNnJ1SQ6iNvt5bXCEKoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.384 [XNIO-1 task-2]  N2BD2p9rT5WmB1tISXUo8w DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.384 [XNIO-1 task-1]  YAKNnJ1SQ6iNvt5bXCEKoA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:44.391 [XNIO-1 task-1]  YAKNnJ1SQ6iNvt5bXCEKoA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.402 [XNIO-1 task-1]  oJloswWaRs-KLYU-snl8ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.402 [XNIO-1 task-1]  oJloswWaRs-KLYU-snl8ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.402 [XNIO-1 task-1]  oJloswWaRs-KLYU-snl8ew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.403 [XNIO-1 task-1]  oJloswWaRs-KLYU-snl8ew DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", "Basic Zjc1MjllN2UtYWNlMC00ZTM2LWFlZDItNDUzNTk5OGVhZTBmOnlJSHBkWEZOUTAyeE8tV0gzZUN1U3c=", authorization)
16:29:44.406 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:c0505771-06f5-4b6f-8e68-a5def85e196c
16:29:44.407 [XNIO-1 task-2]  wlQeDFXmQRyc4a5ezUulMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.408 [XNIO-1 task-2]  wlQeDFXmQRyc4a5ezUulMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.408 [XNIO-1 task-2]  wlQeDFXmQRyc4a5ezUulMg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.409 [XNIO-1 task-2]  wlQeDFXmQRyc4a5ezUulMg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 796e333e-5e64-4603-812a-e603a075f351 scope = null
16:29:44.412 [XNIO-1 task-1]  oJloswWaRs-KLYU-snl8ew INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.420 [XNIO-1 task-1]  2SD-xTZPR32bkGmOKHW04Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.420 [XNIO-1 task-1]  2SD-xTZPR32bkGmOKHW04Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.421 [XNIO-1 task-1]  2SD-xTZPR32bkGmOKHW04Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.421 [XNIO-1 task-1]  2SD-xTZPR32bkGmOKHW04Q DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:44.423 [XNIO-1 task-2]  wlQeDFXmQRyc4a5ezUulMg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.428 [XNIO-1 task-1]  2SD-xTZPR32bkGmOKHW04Q INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.434 [XNIO-1 task-1]  3uL9hLwgQjyQsttvPYzm1w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.434 [XNIO-1 task-1]  3uL9hLwgQjyQsttvPYzm1w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.437 [XNIO-1 task-1]  3uL9hLwgQjyQsttvPYzm1w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.439 [XNIO-1 task-1]  3uL9hLwgQjyQsttvPYzm1w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YmZlOWVjZDMtMmI2NC00NmMzLWE1MTYtZjgzOWFkZGU5NzE1OmJaLWE0T3hNUzBxYUt5b3ZwQ1NPakE=", "Basic YmZlOWVjZDMtMmI2NC00NmMzLWE1MTYtZjgzOWFkZGU5NzE1OmJaLWE0T3hNUzBxYUt5b3ZwQ1NPakE=", authorization)
16:29:44.442 [XNIO-1 task-2]  UiLUZbE0QeqrhZkPAdKGZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.442 [XNIO-1 task-2]  UiLUZbE0QeqrhZkPAdKGZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.445 [XNIO-1 task-2]  UiLUZbE0QeqrhZkPAdKGZw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.445 [XNIO-1 task-2]  UiLUZbE0QeqrhZkPAdKGZw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", authorization)
16:29:44.447 [XNIO-1 task-1]  3uL9hLwgQjyQsttvPYzm1w DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.448 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:678d5188
16:29:44.450 [XNIO-1 task-4]  sV6SMye-Q_ugA5Ol43FRKg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.451 [XNIO-1 task-4]  sV6SMye-Q_ugA5Ol43FRKg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.451 [XNIO-1 task-4]  sV6SMye-Q_ugA5Ol43FRKg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.451 [XNIO-1 task-4]  sV6SMye-Q_ugA5Ol43FRKg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = CwV8ZS6wRV2ldoyjh6jOLw redirectUri = http://localhost:8080/authorization
16:29:44.452 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:678d5188
16:29:44.459 [XNIO-1 task-1]  ELx-Gg2WTl2kfyoSbz3A9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.460 [XNIO-1 task-1]  ELx-Gg2WTl2kfyoSbz3A9w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.460 [XNIO-1 task-2]  UiLUZbE0QeqrhZkPAdKGZw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.460 [XNIO-1 task-1]  ELx-Gg2WTl2kfyoSbz3A9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.461 [XNIO-1 task-1]  ELx-Gg2WTl2kfyoSbz3A9w DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
16:29:44.466 [XNIO-1 task-4]  sV6SMye-Q_ugA5Ol43FRKg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.468 [XNIO-1 task-1]  ELx-Gg2WTl2kfyoSbz3A9w DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.476 [XNIO-1 task-2]  kEYtJCefRqOeedAoGHKJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.476 [XNIO-1 task-2]  kEYtJCefRqOeedAoGHKJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.477 [XNIO-1 task-2]  kEYtJCefRqOeedAoGHKJJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.477 [XNIO-1 task-2]  kEYtJCefRqOeedAoGHKJJw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NzIzNzk1MzktYzVhNC00OWQ4LWI4ZDMtMGViM2VmNzkwOTFjOkNyWXNZanlEUkxtaFdEZlc2eGN4M0E=", "Basic NzIzNzk1MzktYzVhNC00OWQ4LWI4ZDMtMGViM2VmNzkwOTFjOkNyWXNZanlEUkxtaFdEZlc2eGN4M0E=", authorization)
16:29:44.480 [XNIO-1 task-4]  OZeRCjgGRs2XT5mreXsmXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.480 [XNIO-1 task-4]  OZeRCjgGRs2XT5mreXsmXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.480 [XNIO-1 task-4]  OZeRCjgGRs2XT5mreXsmXg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.481 [XNIO-1 task-4]  OZeRCjgGRs2XT5mreXsmXg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", "Basic N2ExYTJiMDktZjQzNS00ZjZlLThmYWEtMGQ4MzI2YTQ1MmRmOnZ2b0Q3MkhtUm1XODlscWRnVmlWT3c=", authorization)
16:29:44.495 [XNIO-1 task-4]  OZeRCjgGRs2XT5mreXsmXg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.498 [XNIO-1 task-2]  kEYtJCefRqOeedAoGHKJJw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
16:29:44.509 [XNIO-1 task-4]  jB7H1m_0TGqFat__JrJFBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.509 [XNIO-1 task-4]  jB7H1m_0TGqFat__JrJFBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
16:29:44.509 [XNIO-1 task-4]  jB7H1m_0TGqFat__JrJFBQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
16:29:44.511 [XNIO-1 task-4]  jB7H1m_0TGqFat__JrJFBQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NzIzNzk1MzktYzVhNC00OWQ4LWI4ZDMtMGViM2VmNzkwOTFjOkNyWXNZanlEUkxtaFdEZlc2eGN4M0E=", "Basic NzIzNzk1MzktYzVhNC00OWQ4LWI4ZDMtMGViM2VmNzkwOTFjOkNyWXNZanlEUkxtaFdEZlc2eGN4M0E=", authorization)
16:29:44.513 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:aae8a5de
16:29:44.520 [XNIO-1 task-4]  jB7H1m_0TGqFat__JrJFBQ INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:44.539 [XNIO-1 task-4]  vR-7NhR_RImVQwY1edTaNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.539 [XNIO-1 task-4]  vR-7NhR_RImVQwY1edTaNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.539 [XNIO-1 task-4]  vR-7NhR_RImVQwY1edTaNA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.540 [XNIO-1 task-4]  vR-7NhR_RImVQwY1edTaNA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = 7vfzBso3TC-rQdhdL5M36A redirectUri = http://localhost:8080/authorization
16:29:44.546 [XNIO-1 task-1]  6YPVhaYZT8ChDPy6Yk3whA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.546 [XNIO-1 task-2]  CJaVaDRESlCPyBn8xyoAqw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.546 [XNIO-1 task-4]  vR-7NhR_RImVQwY1edTaNA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
16:29:44.546 [XNIO-1 task-2]  CJaVaDRESlCPyBn8xyoAqw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:44.546 [XNIO-1 task-2]  CJaVaDRESlCPyBn8xyoAqw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
