20:00:39.952 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG com.zaxxer.hikari.pool.HikariPool checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@fe063ff
20:00:43.883 [XNIO-1 task-2]  eUM3UUl3RpWgqNvaMh9-NA DEBUG com.networknt.schema.TypeValidator debug - validate( "fea8a03b", "fea8a03b", serviceId)
20:00:43.889 [XNIO-1 task-2]  VIuVUaJ7Qb2Ny9a5BX59Xg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/db5f91a4
20:00:43.889 [XNIO-1 task-2]  VIuVUaJ7Qb2Ny9a5BX59Xg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.889 [XNIO-1 task-2]  VIuVUaJ7Qb2Ny9a5BX59Xg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:43.889 [XNIO-1 task-2]  VIuVUaJ7Qb2Ny9a5BX59Xg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/db5f91a4
20:00:43.899 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:669ea312-2e09-48c0-ac1e-539d01e35f0f
20:00:43.899 [XNIO-1 task-2]  OKkcbr3bQP2L99PxU1CY1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fea8a03b
20:00:43.899 [XNIO-1 task-2]  OKkcbr3bQP2L99PxU1CY1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.899 [XNIO-1 task-2]  OKkcbr3bQP2L99PxU1CY1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:43.899 [XNIO-1 task-2]  OKkcbr3bQP2L99PxU1CY1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fea8a03b
Jun 28, 2024 8:00:43 PM com.hazelcast.map.impl.operation.DeleteOperation
java.lang.RuntimeException: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/db5f91a4
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:43.903 [hz._hzInstance_1_dev.partition-operation.thread-1]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1042)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeLargeUpdate(ClientPreparedStatement.java:1345)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)

	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.spi.Operation.call(Operation.java:170)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:199)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/db5f91a4, base path is set to: null
20:00:43.903 [XNIO-1 task-2]  3lZb1eMcTRiv37bHY9ObsQ DEBUG com.networknt.schema.TypeValidator debug - validate( "db5f91a4", "db5f91a4", serviceId)
20:00:43.926 [XNIO-1 task-2]  ypYoxs2YQKS4Qogk9pf28w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.926 [XNIO-1 task-2]  ypYoxs2YQKS4Qogk9pf28w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.927 [XNIO-1 task-2]  ypYoxs2YQKS4Qogk9pf28w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.927 [XNIO-1 task-2]  ypYoxs2YQKS4Qogk9pf28w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:43.934 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:50df68cd-67c8-4f88-a608-cd88f5a8502e
20:00:43.973 [XNIO-1 task-2]  kqDV_boKT3i19msSbHn_XQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fea8a03b
20:00:43.973 [XNIO-1 task-2]  kqDV_boKT3i19msSbHn_XQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:43.973 [XNIO-1 task-2]  kqDV_boKT3i19msSbHn_XQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:43.973 [XNIO-1 task-2]  kqDV_boKT3i19msSbHn_XQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/fea8a03b
20:00:43.999 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:2eb21053
20:00:44.016 [XNIO-1 task-2]  6HC717xTRGihDqGrVC808w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.016 [XNIO-1 task-2]  6HC717xTRGihDqGrVC808w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.016 [XNIO-1 task-2]  6HC717xTRGihDqGrVC808w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.029 [XNIO-1 task-2]  afIr_cXURTSzthgN5cAZbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.029 [XNIO-1 task-2]  afIr_cXURTSzthgN5cAZbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.030 [XNIO-1 task-2]  afIr_cXURTSzthgN5cAZbQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.030 [XNIO-1 task-2]  afIr_cXURTSzthgN5cAZbQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:44.047 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:2eb21053
20:00:44.049 [XNIO-1 task-2]  -5oTO0zwRP61AlPq54WmtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/8325a6bb
20:00:44.049 [XNIO-1 task-2]  -5oTO0zwRP61AlPq54WmtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.049 [XNIO-1 task-2]  -5oTO0zwRP61AlPq54WmtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:44.050 [XNIO-1 task-2]  -5oTO0zwRP61AlPq54WmtQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/8325a6bb
20:00:44.069 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:ce93f6f6-6781-461f-b782-7461f3dc6ce9
20:00:44.073 [XNIO-1 task-2]  W3xbvAurSSOSSYhHx7Q-cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.073 [XNIO-1 task-2]  W3xbvAurSSOSSYhHx7Q-cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.074 [XNIO-1 task-2]  W3xbvAurSSOSSYhHx7Q-cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.074 [XNIO-1 task-2]  W3xbvAurSSOSSYhHx7Q-cQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:44.102 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:36ffb109-43fe-472e-818b-1c6b8674440a
20:00:44.104 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:36ffb109-43fe-472e-818b-1c6b8674440a
20:00:44.121 [XNIO-1 task-2]  MWBqekHITzmG6aRH1i_AjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.121 [XNIO-1 task-2]  MWBqekHITzmG6aRH1i_AjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.121 [XNIO-1 task-2]  MWBqekHITzmG6aRH1i_AjQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.121 [XNIO-1 task-2]  MWBqekHITzmG6aRH1i_AjQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
20:00:44.143 [XNIO-1 task-2]  3s7nfzC1QWK9oHhGHyPFwA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.144 [XNIO-1 task-2]  3s7nfzC1QWK9oHhGHyPFwA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.144 [XNIO-1 task-2]  3s7nfzC1QWK9oHhGHyPFwA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
20:00:44.147 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:50df68cd-67c8-4f88-a608-cd88f5a8502e
20:00:44.156 [XNIO-1 task-2]  3hmcy2KZTgeh3EvS4H4tcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.156 [XNIO-1 task-2]  3hmcy2KZTgeh3EvS4H4tcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.157 [XNIO-1 task-2]  3hmcy2KZTgeh3EvS4H4tcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.157 [XNIO-1 task-2]  3hmcy2KZTgeh3EvS4H4tcQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:44.186 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:9824435c
20:00:44.190 [XNIO-1 task-2]  nZu4ZKnBRlKMOCZ26WU8AA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/81befe2d, base path is set to: null
20:00:44.191 [XNIO-1 task-2]  nZu4ZKnBRlKMOCZ26WU8AA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.191 [XNIO-1 task-2]  nZu4ZKnBRlKMOCZ26WU8AA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:44.191 [XNIO-1 task-2]  nZu4ZKnBRlKMOCZ26WU8AA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/81befe2d, base path is set to: null
20:00:44.192 [XNIO-1 task-2]  nZu4ZKnBRlKMOCZ26WU8AA DEBUG com.networknt.schema.TypeValidator debug - validate( "81befe2d", "81befe2d", serviceId)
20:00:44.231 [XNIO-1 task-2]  TfmJ6qnmROes_E5DnSbG-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.231 [XNIO-1 task-2]  TfmJ6qnmROes_E5DnSbG-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.232 [XNIO-1 task-2]  TfmJ6qnmROes_E5DnSbG-Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.246 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.247 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.247 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.248 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:44.248 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:44.248 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "e2300314-62f6-4b79-b779-34042d7236c6", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:44.248 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "7c8cb420", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
20:00:44.250 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
20:00:44.251 [XNIO-1 task-2]  9xdukDDiQeaRfLtYrTiSSQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:44.262 [XNIO-1 task-2]  1kQLlJBNQXaL0K3dgyWb8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/7c8cb420
20:00:44.262 [XNIO-1 task-2]  1kQLlJBNQXaL0K3dgyWb8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.263 [XNIO-1 task-2]  1kQLlJBNQXaL0K3dgyWb8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:44.263 [XNIO-1 task-2]  1kQLlJBNQXaL0K3dgyWb8w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/7c8cb420
20:00:44.264 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:49d9f48a
20:00:44.269 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:49d9f48a
20:00:44.271 [XNIO-1 task-2]  qVqYEw-2R_uXLxfDssLG0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/7c8cb420
20:00:44.271 [XNIO-1 task-2]  qVqYEw-2R_uXLxfDssLG0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.271 [XNIO-1 task-2]  qVqYEw-2R_uXLxfDssLG0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
20:00:44.271 [XNIO-1 task-2]  qVqYEw-2R_uXLxfDssLG0w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/7c8cb420
20:00:44.276 [XNIO-1 task-2]  b0yvwKWjQGm6OyzDa5R5ZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/7c8cb420, base path is set to: null
20:00:44.277 [XNIO-1 task-2]  b0yvwKWjQGm6OyzDa5R5ZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
20:00:44.277 [XNIO-1 task-2]  b0yvwKWjQGm6OyzDa5R5ZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
20:00:44.277 [XNIO-1 task-2]  b0yvwKWjQGm6OyzDa5R5ZA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/7c8cb420, base path is set to: null
20:00:44.277 [XNIO-1 task-2]  b0yvwKWjQGm6OyzDa5R5ZA DEBUG com.networknt.schema.TypeValidator debug - validate( "7c8cb420", "7c8cb420", serviceId)
20:00:44.284 [XNIO-1 task-2]  yv-kqK9qRyu0Tzo9csi6Tg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.284 [XNIO-1 task-2]  yv-kqK9qRyu0Tzo9csi6Tg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.284 [XNIO-1 task-2]  yv-kqK9qRyu0Tzo9csi6Tg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.285 [XNIO-1 task-2]  yv-kqK9qRyu0Tzo9csi6Tg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:44.297 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.297 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.297 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.298 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:44.298 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:44.298 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "e2300314-62f6-4b79-b779-34042d7236c6", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:44.300 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "7c8cb420", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
20:00:44.300 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
20:00:44.300 [XNIO-1 task-2]  y2DLfNK2Q9OMfHIJek5U2Q DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"7c8cb420","serviceName":"1402a6de-e41f-4ecb-8166-735064e5","serviceDesc":"e2300314-62f6-4b79-b779-34042d7236c6","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:44.317 [XNIO-1 task-2]  MFH6bj4sRbOmfRhVjhdFlw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.317 [XNIO-1 task-2]  MFH6bj4sRbOmfRhVjhdFlw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.317 [XNIO-1 task-2]  MFH6bj4sRbOmfRhVjhdFlw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.318 [XNIO-1 task-2]  MFH6bj4sRbOmfRhVjhdFlw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
20:00:44.339 [XNIO-1 task-2]  Ok0ERuIVQfiHY7blfOchYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.339 [XNIO-1 task-2]  Ok0ERuIVQfiHY7blfOchYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.339 [XNIO-1 task-2]  Ok0ERuIVQfiHY7blfOchYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.354 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.354 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.355 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:44.355 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"629c2cdc","serviceName":"d6aa28cf-bd59-4f3c-b001-9e722092","serviceDesc":"284d0eed-3975-451d-863b-325f58c1fdce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"629c2cdc","serviceName":"d6aa28cf-bd59-4f3c-b001-9e722092","serviceDesc":"284d0eed-3975-451d-863b-325f58c1fdce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:44.355 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"629c2cdc","serviceName":"d6aa28cf-bd59-4f3c-b001-9e722092","serviceDesc":"284d0eed-3975-451d-863b-325f58c1fdce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:44.355 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG com.networknt.schema.TypeValidator debug - validate( "284d0eed-3975-451d-863b-325f58c1fdce", {"serviceType":"swagger","serviceId":"629c2cdc","serviceName":"d6aa28cf-bd59-4f3c-b001-9e722092","serviceDesc":"284d0eed-3975-451d-863b-325f58c1fdce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:44.355 [XNIO-1 task-2]  E0hyh_1sTt6JEn78T1WC_g DEBUG com.networknt.schema.TypeValidator debug - validate( "629c2cdc", {"serviceType":"swagger","serviceId":"629c2cdc","serviceName":"d6aa28cf-bd59-4f3c-b001-9e722092","serviceDesc":"284d0eed-3975-451d-863b-325f58c1fdce","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
